name,lat,lon
Национален археологически музей,42.69647,23.32459
Национална галерия (Квадрат 500),42.69633,23.33422
Национален етнографски музей,42.69631,23.32707
Национален природонаучен музей,42.69578,23.32841
Софийска градска художествена галерия,42.69466,23.32431
Галерия Средец,42.69692,23.32000
Галерия Академия,42.69497,23.33396
Галерия Райко Алексиев,42.69412,23.32863
Галерия Nuance,42.69378,23.32188
Галерия Аросита,42.69764,23.33168
Галерия Сердика,42.70293,23.31995
Галерия Лик,42.69136,23.31144
Галерия КО-ОП,42.70349,23.30077
Галерия Contrast,42.69445,23.31677
Галерия Intro,42.69371,23.31676
nOva Art Space,42.69607,23.32429
Галерия Astry,42.69413,23.31688
Галерия Doza,42.69779,23.31809
Little Bird Place,42.69810,23.33208
Галерия Нирвана,42.69182,23.32225
Галерия Минерва,42.69421,23.32451
Галерия Etud,42.68191,23.33199
Галерия Credo Bonum,42.69405,23.32733
VIVACOM Art Hall,42.69570,23.33618
Галерия Алма Матер,42.69413,23.33582
Галерия Арте,42.68942,23.31312
Галерия Ракурси,42.69137,23.32380
Галерия Васка Емануилова,42.69846,23.34166
One Gallery,42.69548,23.32690
Галерия Графично,42.69433,23.31697